ioc,status,risk_score,risk_level,malicious,suspicious,harmless,timestamp
109.68.67.0,Clean,,,0,0,56,2026-07-08 00:56:45
8.8.8.8,Clean,,,0,0,54,2026-07-09 00:41:45
1.1.1.1,Clean,,,0,0,57,2026-07-09 00:41:46
8.8.8.8,Clean,,,0,0,54,2026-07-09 00:42:49
1.1.1.1,Clean,,,0,0,57,2026-07-09 00:42:50
8.8.4.4,Suspicious,,,2,0,55,2026-07-09 00:42:51
8.8.8.8,Clean,,,0,0,54,2026-07-11 22:31:05
1.1.1.1,Clean,,,0,0,57,2026-07-11 22:31:06
8.8.8.8,Clean,,,0,0,54,2026-07-11 22:31:45
8.8.8.8,Clean,,,0,0,54,2026-07-11 22:33:13
8.8.8.8,Clean,,,0,0,54,2026-07-11 22:37:56
8.8.8.8,Clean,,,0,0,54,2026-07-11 22:46:47
1.1.1.1,Clean,,,0,0,57,2026-07-11 22:46:48
google.com,Clean,,,0,0,63,2026-07-11 22:46:48
https://example.com,Clean,,,0,0,64,2026-07-11 22:46:49
44d88612fea8a8f36de82e1278abb02f,Malicious,,,65,0,0,2026-07-11 22:46:50
8.8.8.8,Clean,,,0,0,55,2026-07-12 00:33:04
1.1.1.1,Clean,,,0,0,58,2026-07-12 00:33:06
google.com,Clean,,,0,0,61,2026-07-12 00:33:06
https://microsoft.com,Clean,,,0,0,62,2026-07-12 00:33:07
44d88612fea8a8f36de82e1278abb02f,Malicious,,,65,0,0,2026-07-12 00:33:08
8.8.8.8,Clean,,,0,0,55,2026-07-12 00:33:19
1.1.1.1,Clean,,,0,0,58,2026-07-12 00:33:19
google.com,Clean,,,0,0,61,2026-07-12 00:33:20
https://microsoft.com,Clean,,,0,0,62,2026-07-12 00:33:21
44d88612fea8a8f36de82e1278abb02f,Malicious,,,65,0,0,2026-07-12 00:33:22
8.8.8.8,Clean,,,0,0,55,2026-07-12 00:34:50
1.1.1.1,Clean,,,0,0,58,2026-07-12 00:34:55
google.com,Clean,,,0,0,61,2026-07-12 00:35:02
8.8.8.8,Clean,,,0,0,55,2026-07-12 00:35:33
1.1.1.1,Clean,,,0,0,58,2026-07-12 00:35:34
google.com,Clean,,,0,0,61,2026-07-12 00:35:34
https://microsoft.com,Clean,,,0,0,62,2026-07-12 00:35:35
44d88612fea8a8f36de82e1278abb02f,Malicious,,,65,0,0,2026-07-12 00:35:36
8.8.8.8,Clean,,,0,0,55,2026-07-12 00:36:49
1.1.1.1,Clean,,,0,0,58,2026-07-12 00:36:49
8.8.8.8,Clean,,,0,0,55,2026-07-12 00:38:52
1.1.1.1,Clean,,,0,0,58,2026-07-12 00:38:52
google.com,Clean,,,0,0,61,2026-07-12 00:38:53
https://microsoft.com,Clean,,,0,0,62,2026-07-12 00:38:54
44d88612fea8a8f36de82e1278abb02f,Malicious,,,64,0,0,2026-07-12 00:38:54
8.8.8.8,Clean,,,0,0,55,2026-07-12 00:46:23
1.1.1.1,Clean,,,0,0,58,2026-07-12 00:46:24
google.com,Clean,,,0,0,61,2026-07-12 00:46:24
https://microsoft.com,Clean,,,0,0,61,2026-07-12 00:46:25
44d88612fea8a8f36de82e1278abb02f,Malicious,,,64,0,0,2026-07-12 00:46:26
8.8.8.8,Clean,,,0,0,55,2026-07-12 00:51:05
1.1.1.1,Clean,,,0,0,58,2026-07-12 00:51:06
google.com,Clean,,,0,0,62,2026-07-12 00:51:07
https://microsoft.com,Clean,,,0,0,61,2026-07-12 00:51:09
44d88612fea8a8f36de82e1278abb02f,Malicious,,,65,0,0,2026-07-12 00:51:10
8.8.8.8,Clean,,,0,0,55,2026-07-12 00:52:05
1.1.1.1,Clean,,,0,0,58,2026-07-12 00:52:06
google.com,Clean,,,0,0,62,2026-07-12 00:52:06
https://microsoft.com,Clean,,,0,0,61,2026-07-12 00:52:07
44d88612fea8a8f36de82e1278abb02f,Malicious,,,65,0,0,2026-07-12 00:52:08
8.8.8.8,Clean,,,0,0,55,2026-07-12 00:53:50
1.1.1.1,Clean,,,0,0,58,2026-07-12 00:53:51
google.com,Clean,,,0,0,62,2026-07-12 00:53:55
https://microsoft.com,Clean,,,0,0,61,2026-07-12 00:53:57
44d88612fea8a8f36de82e1278abb02f,Malicious,,,65,0,0,2026-07-12 00:53:57
8.8.8.8,Clean,,,0,0,55,2026-07-12 00:55:28
1.1.1.1,Clean,,,0,0,58,2026-07-12 00:55:29
google.com,Clean,,,0,0,62,2026-07-12 00:55:29
https://microsoft.com,Clean,,,0,0,61,2026-07-12 00:55:30
44d88612fea8a8f36de82e1278abb02f,Malicious,,,65,0,0,2026-07-12 00:55:31
8.8.8.8,Clean,,,0,0,54,2026-07-13 00:15:47
google.com,Clean,,,0,0,63,2026-07-13 00:15:48
https://microsoft.com,Clean,,,0,0,61,2026-07-13 00:15:49
44d88612fea8a8f36de82e1278abb02f,Malicious,,,66,0,0,2026-07-13 00:15:49
google.com,Clean,,,0,0,63,2026-07-13 00:15:51
8.8.8.8,Clean,,,0,0,55,2026-07-13 00:18:51
google.com,Clean,,,0,0,63,2026-07-13 00:18:52
https://google.com,Clean,,,0,0,65,2026-07-13 00:18:53
8.8.8.8,Clean,,,0,0,55,2026-07-14 03:33:01
google.com,Clean,,,0,0,61,2026-07-14 03:33:02
https://google.com,Clean,,,0,0,63,2026-07-14 03:33:03
8.8.8.8,Clean,0,Low,0,0,55,2026-07-14 03:35:27
google.com,Clean,0,Low,0,0,61,2026-07-14 03:35:28
https://google.com,Clean,0,Low,0,0,63,2026-07-14 03:35:29
8.8.8.8,Clean,0,Low,0,0,55,2026-07-15 01:40:25
google.com,Clean,0,Low,0,0,62,2026-07-15 01:40:26
https://google.com,Clean,0,Low,0,0,64,2026-07-15 01:40:26
8.8.8.8,Clean,0,Low,0,0,55,2026-07-15 01:43:35
google.com,Clean,0,Low,0,0,62,2026-07-15 01:43:36
https://google.com,Clean,0,Low,0,0,64,2026-07-15 01:43:36
8.8.8.8,Clean,0,Low,0,0,55,2026-07-15 01:43:49
google.com,Clean,0,Low,0,0,62,2026-07-15 01:43:50
https://google.com,Clean,0,Low,0,0,64,2026-07-15 01:43:51
8.8.8.8,Clean,0,Low,0,0,55,2026-07-15 01:46:59
google.com,Clean,0,Low,0,0,62,2026-07-15 01:47:00
https://google.com,Clean,0,Low,0,0,64,2026-07-15 01:47:01
8.8.8.8,Clean,0,Low,0,0,55,2026-07-15 01:52:34
google.com,Clean,0,Low,0,0,62,2026-07-15 01:52:34
https://google.com,Clean,0,Low,0,0,64,2026-07-15 01:52:35
8.8.8.8,Clean,0,Low,0,0,54,2026-07-16 04:39:00
google.com,Clean,0,Low,0,0,61,2026-07-16 04:39:00
https://google.com,Clean,0,Low,0,0,63,2026-07-16 04:39:01
8.8.8.8,Clean,0,Low,0,0,54,2026-07-16 04:40:27
google.com,Clean,0,Low,0,0,61,2026-07-16 04:40:28
https://google.com,Clean,0,Low,0,0,63,2026-07-16 04:40:29
